ID,Picture.B,HR.Skill.B,Picture.T,HR.Skill.T,Picture.VR,HR.Skill.VR
PCA06192023,3,0,1,42.86,2,33.33
PNW06192023,3,33.33,1,21.43,2,16.67
PSS06192023,3,26.67,2,27.78,1,7.14
PBF06192023,3,13.33,2,33.33,1,28.57
PJS06202023,1,21.43,3,33.33,2,22.22
PEG06202023,1,21.43,3,13.33,2,0
PSM06202023,3,26.67,1,50,2,55.56
PDL06202023,3,0,1,7.14,2,5.56
PSP06202023,3,0,1,7.14,2,5.56
PMK06212023,2,16.67,1,7.14,3,46.67
PAU021 2023,1,7.14,3,20,2,5.56
PRG06212023,1,21.43,3,6.67,2,5.56
PAC06212023,1,14.29,3,13.33,2,5.56
PSG06212023,3,20,2,38.89,1,35.71
PKG06212023,3,6.67,2,11.11,1,7.14
PRO06212023 ,3,0,2,11.11,1,14.29
PZH06222023,1,7.14,3,20,2,11.11
PJH06222023,2,38.89,1,71.43,3,46.67
PJM06222023,2,11.11,1,14.29,3,20
PCE0622023,2,0,1,7.14,3,0
PRP06222023,3,6.67,1,21.43,2,33.33
PGC06222023,3,0,2,0,1,0
PHL06232022,1,0,3,6.67,2,5.56
PEO06232023,1,7.14,3,13.33,2,11.11
PAM06232023,1,14.29,3,40,2,16.67
PFA06232023,3,0,1,7.14,2,5.56
PAO06232023,3,0,2,0,1,0
PEL06242023,3,0,1,0,2,5.56
PXH06242023,3,6.67,2,5.56,1,7.14
PDN06272023,3,20,1,14.29,2,16.67
PCG06262023,2,16.67,1,50,3,60
PRS06262023,1,21.43,3,46.67,2,38.89
PAF06282023,1,0,3,0,2,0
PPF06262023,3,0,2,11.11,1,7.14
PEE06262023 ,3,20,2,16.67,1,14.29
PJA06272023,2,22.22,1,0,3,13.33
PFE06272023,3,13.33,1,14.29,2,22.22
PRL06272023,3,20,1,14.29,2,5.56
PEG06292023,2,5.56,1,14.29,3,6.67
PJM06292023,1,21.43,3,46.67,2,16.67
PLL06292023,3,6.67,2,16.67,1,21.43
PTL06302023,1,0,3,6.67,2,0
PJA06302023,3,0,2,5.56,1,14.29
